mhy_id,name,role,introduction,rarity,getting,icon,type,effect,label
1563,魔女的炎之花,"['迪卢克', '可莉', '胡桃', '香菱', '烟绯']",曾经梦想烧尽世间魔物的魔女触碰过的花朵。无名的火舌温暖地舔舐触碰它的人。,4星/5星,['无妄引咎密宫'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/12/4521515/c190ef03ac66983357983509dcb18851_5718299127265651789.png,炽烈的炎之魔女,"{'两件套：':'获得15%火元素伤害加成。','四件套：':'超载、燃烧、烈绽放反应造成的伤害提升40%，蒸发、融化反应的加成系数提高15%。施放元素战技后的10秒内，2件套的效果提高50%，该效果最多叠加3次。'}",artifacts
1563,魔女常燃之羽,"['迪卢克', '可莉', '胡桃', '香菱', '烟绯']",曾经梦想烧尽世间魔物的魔女触碰过的鸟羽，在恒常的燃烧中挥发着烈焰的温度。,4星/5星,['无妄引咎密宫'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/12/4521515/f34335d7804e0d43133a96cefd334804_5145382858779810409.png,炽烈的炎之魔女,"{'两件套：':'获得15%火元素伤害加成。','四件套：':'超载、燃烧、烈绽放反应造成的伤害提升40%，蒸发、融化反应的加成系数提高15%。施放元素战技后的10秒内，2件套的效果提高50%，该效果最多叠加3次。'}",artifacts
1563,魔女破灭之时,"['迪卢克', '可莉', '胡桃', '香菱', '烟绯']",曾经梦想烧尽世间魔物的魔女佩戴的时计，其中流淌着的是魔女献给火焰的岁月。,4星/5星,['无妄引咎密宫'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/12/4521515/4ca819fa5a69c0e22930192dd4eeb787_9037397823088823627.png,炽烈的炎之魔女,"{'两件套：':'获得15%火元素伤害加成。','四件套：':'超载、燃烧、烈绽放反应造成的伤害提升40%，蒸发、融化反应的加成系数提高15%。施放元素战技后的10秒内，2件套的效果提高50%，该效果最多叠加3次。'}",artifacts
1563,魔女的心之火,"['迪卢克', '可莉', '胡桃', '香菱', '烟绯']",曾经梦想烧尽世间魔物的炎之魔女留下的流火之饔。瓶中火永不熄灭，一如其人。,4星/5星,['无妄引咎密宫'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/12/4521515/53d1049ec31acf5282da4e56356ed899_3125834989571600868.png,炽烈的炎之魔女,"{'两件套：':'获得15%火元素伤害加成。','四件套：':'超载、燃烧、烈绽放反应造成的伤害提升40%，蒸发、融化反应的加成系数提高15%。施放元素战技后的10秒内，2件套的效果提高50%，该效果最多叠加3次。'}",artifacts
1563,焦灼的魔女帽,"['迪卢克', '可莉', '胡桃', '香菱', '烟绯']",曾经梦想烧尽世间魔物的炎之魔女曾经戴过的帽子。宽大的帽檐能遮挡她的视线。,4星/5星,['无妄引咎密宫'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/12/4521515/b5ad311e2de38b5aef35b1003583cad9_8089497055432781674.png,炽烈的炎之魔女,"{'两件套：':'获得15%火元素伤害加成。','四件套：':'超载、燃烧、烈绽放反应造成的伤害提升40%，蒸发、融化反应的加成系数提高15%。施放元素战技后的10秒内，2件套的效果提高50%，该效果最多叠加3次。'}",artifacts
1643,游医的银莲,[],是珍贵的药材，但存放了这么久已经失去了药用价值。,1星/2星/3星,['铭记之谷'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/13/183046623/f24e207383dd870f79087cdc5da6a28b_8498966961697083006.png,游医,"{'两件套：':'角色受到的治疗效果提高20%。','四件套：':'释放元素爆发时，恢复20%生命值。'}",artifacts
1643,游医的枭羽,[],枭的坚硬羽毛，夜间行医时用夜行猛禽的意象鼓舞自己。,1星/2星/3星,['铭记之谷'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/13/183046623/87f86a6ea997917b329524ccdd6d1f22_785791202933026811.png,游医,"{'两件套：':'角色受到的治疗效果提高20%。','四件套：':'释放元素爆发时，恢复20%生命值。'}",artifacts
1643,游医的怀钟,[],用来精确计时的道具。对医者而言，即使是一秒的时间也不能浪费。,1星/2星/3星,['铭记之谷'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/13/183046623/b12cc5fc11eca668d58fe48359f8cd2f_4199105162570894949.png,游医,"{'两件套：':'角色受到的治疗效果提高20%。','四件套：':'释放元素爆发时，恢复20%生命值。'}",artifacts
1643,游医的药壶,[],原本装满了提炼后极浓的药汁，如今只剩下浓烈的药味。,1星/2星/3星,['铭记之谷'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/13/183046623/0f6d63fdef96156cb950ba20cba02b16_7474537255373281925.png,游医,"{'两件套：':'角色受到的治疗效果提高20%。','四件套：':'释放元素爆发时，恢复20%生命值。'}",artifacts
1643,游医的方巾,[],平时能在行医时绑住乱发，紧急情况下也能用来托起扭伤、折断的手臂。,1星/2星/3星,['铭记之谷'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/13/183046623/5930f2252cfd74409414e1c55b591c81_3284454719839089889.png,游医,"{'两件套：':'角色受到的治疗效果提高20%。','四件套：':'释放元素爆发时，恢复20%生命值。'}",artifacts
1644,冒险家之花,[],从深邃的古都寻得的绝境求生的小花，被当做骄傲的勋章佩在胸前。,1星/2星/3星,['仲夏庭院'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/13/183046623/cc48c9b1f313eb3cab77fd2d2139f9e8_2556412945284055064.png,冒险家,"{'两件套：':'生命值上限提高1000点。','四件套：':'开启各类宝箱后的5秒内，持续恢复30%生命值。'}",artifacts
1644,冒险家尾羽,[],异国的奇妙鸟类的羽毛，在这片大陆上非常罕见。,1星/2星/3星,['仲夏庭院'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/13/183046623/cce2441e50b2cdea61d78f968314929e_1478998509926430987.png,冒险家,"{'两件套：':'生命值上限提高1000点。','四件套：':'开启各类宝箱后的5秒内，持续恢复30%生命值。'}",artifacts
1644,冒险家怀表,[],常在不见天日的巨渊还是失落的古都流连的冒险家，会经常忘记时间。,1星/2星/3星,['仲夏庭院'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/13/183046623/892aa6e0b8a77022c0002a18fc8dade7_882385478172309767.png,冒险家,"{'两件套：':'生命值上限提高1000点。','四件套：':'开启各类宝箱后的5秒内，持续恢复30%生命值。'}",artifacts
1644,冒险家金杯,[],冒险家某次出征的战利品，虽然有缺口，仍然是值得骄傲的猎获。,1星/2星/3星,['仲夏庭院'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/13/183046623/1c7f90f73f32bb37f481e7ea5216890b_5918947718793266339.png,冒险家,"{'两件套：':'生命值上限提高1000点。','四件套：':'开启各类宝箱后的5秒内，持续恢复30%生命值。'}",artifacts
1644,冒险家头带,[],束在额前的饰带，吸满了汗液，覆盖着尘土。但脏污难以掩盖冒险家的骄傲。,1星/2星/3星,['仲夏庭院'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/13/183046623/8b52b38c223632390b5d46afb6fa893c_5163212599677766101.png,冒险家,"{'两件套：':'生命值上限提高1000点。','四件套：':'开启各类宝箱后的5秒内，持续恢复30%生命值。'}",artifacts
1645,幸运儿绿花,[],无忧无虑地生长在原野里的四叶绿花，被采是因为能带来幸运之说。,1星/2星/3星,['孤云凌霄之处'],https://uploadstatic.mihoyo.com/ys-obc/2022/10/13/183046623/0f30b6e368647981bbaed7d46640a90c_4956999308486762492.png,幸运儿,"{'两件套：':'防御力提高100点。','四件套：':'拾取摩拉时，恢复300点生命值。'}",artifacts
